exit_date	name	buy_price	buy_date	sell_price	hold_days	ret_pct
2025-08-01	현대제철	35550	2025-07-03	34200	21	-3.80
2025-08-01	원텍	11700	2025-07-07	12190	19	4.19
2025-07-29	케어젠	59000	2025-07-22	54200	5	-8.14
2025-07-29	휴메딕스	73000	2025-07-22	67100	5	-8.08
2025-07-29	RFHIC	20900	2025-06-02	26800	39	28.23
2025-07-29	세아베스틸지주	31650	2025-06-27	32400	22	2.37
2025-07-29	파라다이스	16790	2025-07-07	17830	16	6.19
2025-07-28	JB금융지주	22350	2025-07-07	22550	15	0.89
2025-07-28	BNK금융지주	13400	2025-07-04	14430	16	7.69
2025-07-28	신한지주	66000	2025-07-07	67200	15	1.82
2025-07-28	한국앤컴퍼니	25900	2025-07-14	23800	10	-8.11
2025-07-24	한국금융지주	113700	2025-06-04	147100	35	29.38
2025-07-24	KT&G	130200	2025-07-02	131500	16	1.00
2025-07-23	E1	84700	2025-07-02	88700	15	4.72
2025-07-22	SK가스	280500	2025-07-02	278500	14	-0.71
2025-07-22	SNT모티브	34000	2025-07-07	33000	11	-2.94
2025-07-22	태웅	43150	2025-07-21	39650	1	-8.11
2025-07-21	삼양식품	1436000	2025-07-08	1393000	9	-2.99
2025-07-18	파크시스템스	257000	2025-06-02	290000	32	12.84
2025-07-14	큐리옥스바이오시스템즈	41300	2025-07-01	38750	9	-6.17
2025-07-11	F&F	82200	2025-07-02	79600	7	-3.16
2025-07-08	우리기술	3600	2025-06-17	3620	15	0.56
2025-07-04	미래에셋증권	17690	2025-06-04	19380	21	9.55
2025-07-04	현대로템	152000	2025-06-02	180600	22	18.82
2025-07-04	에이피알	123200	2025-06-02	137800	22	11.85
2025-07-04	원텍	10270	2025-06-02	10730	22	4.48
2025-07-04	LX홀딩스	8820	2025-06-04	9280	21	5.22
2025-07-04	한화투자증권	4790	2025-06-04	6250	21	30.48
2025-07-04	현대지에프홀딩스	8100	2025-06-04	8430	21	4.07
2025-07-03	한화	93400	2025-06-04	90600	20	-3.00
2025-07-03	와이지엔터테인먼트	86000	2025-06-02	86500	21	0.58
2025-07-02	두산	540000	2025-06-04	573000	19	6.11
2025-07-02	한전기술	104100	2025-06-13	95700	13	-8.07
2025-07-02	HD현대	120300	2025-06-04	125400	19	4.24
2025-07-02	현대건설	68800	2025-06-04	74300	19	7.99
2025-07-01	태웅	27500	2025-06-02	30000	19	9.09
2025-06-30	SNT다이내믹스	44900	2025-06-02	51600	18	14.92
2025-06-27	솔트룩스	42500	2025-06-04	46600	16	9.65
2025-06-17	대명에너지	30400	2025-06-09	27950	6	-8.06
2025-06-13	파마리서치	473500	2025-06-02	435500	7	-8.03
2025-06-09	로보티즈	66400	2025-06-04	61000	2	-8.13
