code,1m,3m,6m,12m
004080,-3.409090909090906,-2.6485325697924167,1.4925373134328401,-6.849315068493156
004090,-17.625,-30.04246284501062,-6.855123674911656,4.025256511444364
004100,-19.02777777777778,12.115384615384617,27.015250544662315,30.13392857142858
004105,-15.161649944258638,2.147651006711415,15.653495440729493,19.654088050314456
004140,-26.530612244897956,-20.733944954128436,-20.733944954128436,-13.253012048192769
004150,19.91150442477876,12.603878116343491,26.242236024844722,63.91129032258065
004170,35.500650195058526,48.22190611664296,134.68468468468467,229.12192040429562
004250,-18.646232439335886,-19.874213836477985,-19.36708860759494,-23.067632850241548
004255,-6.485355648535562,-8.401639344262291,-12.180746561886046,-5.296610169491522
004270,842.8950863213812,803.3078880407124,725.5813953488373,532.7985739750445
004310,-18.92523364485982,-48.09274495138369,83.35535006605019,109.66767371601209
004360,-11.688311688311693,-17.174177831912306,-0.1468428781204123,18.57018308631211
004365,-5.544147843942504,-8.366533864541836,4.545454545454541,17.19745222929936
004370,3.3288948069241098,-12.316384180790962,-16.01731601731602,-5.018359853121179
004380,3.116651825467498,16.26506024096386,16.26506024096386,14.880952380952372
004410,613.75,563.953488372093,671.6216216216216,596.3414634146342
004415,505.94214229867083,518.0223285486443,541.0256410256411,509.7560975609756
004430,3.289473684210531,17.41452991452992,15.078534031413614,-10.065466448445171
004440,-31.234256926952142,-5.699481865284972,22.011173184357546,32.524271844660205
004450,-7.66550522648084,-10.77441077441077,-18.836140888208273,-32.05128205128205
004490,-12.06896551724138,-18.930635838150287,-4.915254237288136,-17.500000000000004
004540,-11.5,-6.596306068601587,-11.455727863931964,-28.629032258064512
004545,-7.969639468690703,-12.296564195298377,-13.160250671441364,-27.231807951987996
004560,-6.0436137071651075,-21.824779678589945,36.59420289855073,23.606557377049175
004590,25.4335260115607,24.71264367816093,34.365325077399376,49.4833524684271
004650,-10.754716981132074,-5.210420841683372,-6.336633663366332,0.5313496280552554
004690,-10.021474588403724,-20.34220532319392,-5.346385542168674,36.33405639913232
004700,-5.899705014749268,-13.197278911564625,-8.333333333333337,21.988527724665396
004710,74.79108635097494,98.26224328593997,101.7684887459807,165.88983050847457
004720,-10.273081924577376,-15.544675642594862,-14.392059553349878,-13.749999999999996
004770,-10.41312959818902,-1.4321295143212898,0.7638446849140612,-7.80430984274898
004780,3.164556962025311,4.487179487179493,15.931721194879088,6.2581486310299805
004800,23.245881635143384,20.453190220632077,43.26241134751774,275.4646840148699
004830,-16.904276985743383,-19.999999999999996,-18.318318318318315,-31.658291457286435
004835,-7.197549770290967,-13.798008534850636,-16.98630136986301,-22.80254777070063
004840,-10.22514071294559,-21.557377049180324,3.0139935414424057,9.371428571428563
